Model,R2 (log),R2 ($),RMSE ($),MAE ($),MAPE (%)
Gradient Boosting,0.8692469801323304,0.7635694631984911,484833.9237500667,276867.8965121301,17.349170198919143
Random Forest,0.8232752816145061,0.6567700447691676,584162.679177832,304941.89301908005,19.26169541349177
Ridge regression,0.8386801216423393,0.744001407156947,504498.64561388467,316419.27809676144,19.830717887290902
